,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1900,2948,-1,
1,2,1,1,0,0,0,14,14,1871,2919,-1,
2,3,1,1,1,0,0,108,14,1777,169,-1,
3,4,1,1,1,1,0,108,14,1777,57,-1,
4,5,1,1,1,1,1,108,14,227,57,90,pastalas
5,5,1,1,1,1,2,388,14,154,55,85,žļakst
6,5,1,1,1,1,3,597,27,58,30,96,un
7,5,1,1,1,1,4,705,14,156,50,92,"vēlāk,"
8,5,1,1,1,1,5,915,15,307,55,88,pārliecigam
9,5,1,1,1,1,6,1276,14,187,45,92,ūdenim
10,5,1,1,1,1,7,1517,16,266,53,90,"nuotekuot,"
11,5,1,1,1,1,8,1827,23,58,42,96,tās
12,4,1,1,1,2,0,111,75,1774,56,-1,
13,5,1,1,1,2,1,111,76,218,55,89,žļurkst»
14,5,1,1,1,2,2,374,77,134,54,92,(M-E
15,5,1,1,1,2,3,549,75,55,46,96,IV
16,5,1,1,1,2,4,641,76,134,53,96,819).
17,5,1,1,1,2,5,1858,81,27,46,96,K
18,4,1,1,1,3,0,201,138,298,45,-1,
19,5,1,1,1,3,1,201,138,112,45,91,M-E
20,5,1,1,1,3,2,356,138,59,44,96,IV
21,5,1,1,1,3,3,451,139,48,42,57,71
22,3,1,1,2,0,0,16,200,579,58,-1,
23,4,1,1,2,1,0,16,200,579,58,-1,
24,5,1,1,2,1,1,16,200,218,57,89,šļirkstēt
25,5,1,1,2,1,2,257,228,55,4,89,—
26,5,1,1,2,1,3,336,201,68,45,93,sk.
27,5,1,1,2,1,4,443,203,152,55,45,šfirce.
28,3,1,1,3,0,0,15,261,1194,59,-1,
29,4,1,1,3,1,0,15,261,1194,59,-1,
30,5,1,1,3,1,1,15,264,209,56,92,šļūgans
31,5,1,1,3,1,2,262,264,271,56,80,"'šļaugans,"
32,5,1,1,3,1,3,570,261,258,47,44,slidens:
33,5,1,1,3,1,4,775,257,35,67,50,—
34,5,1,1,3,1,5,855,262,67,45,93,sk.
35,5,1,1,3,1,6,960,265,249,55,88,šļaugans.
36,3,1,1,4,0,0,14,325,928,62,-1,
37,4,1,1,4,1,0,14,325,928,62,-1,
38,5,1,1,4,1,1,14,325,132,57,92,šļukt
39,5,1,1,4,1,2,169,352,56,4,91,—
40,5,1,1,4,1,3,249,325,69,46,93,sk.
41,5,1,1,4,1,4,356,326,144,58,39,š(ūkt.
42,5,1,1,4,1,5,923,381,19,6,0,ķ
43,3,1,1,5,0,0,14,379,1871,568,-1,
44,4,1,1,5,1,0,14,379,1870,67,-1,
45,5,1,1,5,1,1,14,388,132,56,90,šļūkt
46,5,1,1,5,1,2,196,388,198,57,88,"[šļūkt],"
47,5,1,1,5,1,3,434,401,107,43,91,apv.
48,5,1,1,5,1,4,593,379,117,65,85,[ū”];
49,5,1,1,5,1,5,755,387,52,45,81,Iš.
50,5,1,1,5,1,6,848,387,214,45,85,sliūkinti
51,5,1,1,5,1,7,1101,387,156,45,60,"""klusu"
